               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11483,             0.13948,            0.088771,                   0,                   0,                   0,                   0,              0.1014,             0.13208,            0.086987,              0.0802,              0.0022,              0.0022
                   1,             0.10765,             0.15374,            0.088295,                   0,                   0,                   0,                   0,            0.097822,             0.14001,            0.086819,            0.059455,           0.0044554,           0.0044554
                   2,            0.097695,             0.11389,            0.087264,            0.022275,          0.00084607,            0.011331,           0.0055182,            0.094383,             0.13846,            0.086758,            0.038665,           0.0066654,           0.0066654
                   3,            0.088104,             0.11039,            0.084421,            0.016534,              0.2135,            0.018464,           0.0076102,            0.079205,            0.092265,            0.083778,             0.01783,           0.0088297,           0.0088297
                   4,            0.084712,             0.10721,            0.082142,            0.014056,             0.20206,            0.015984,           0.0053491,            0.073541,            0.078382,            0.081198,            0.009604,            0.009604,            0.009604
                   5,             0.07965,             0.10825,            0.080512,           0.0043517,            0.076572,           0.0030369,          0.00089493,            0.089395,            0.082379,            0.080481,            0.009604,            0.009604,            0.009604
                   6,            0.076286,            0.098625,            0.079831,           0.0095888,             0.15351,           0.0078106,           0.0024797,            0.076736,            0.075629,            0.079709,            0.009505,            0.009505,            0.009505
                   7,            0.072942,            0.098033,            0.079196,            0.019824,             0.22125,            0.020172,            0.009018,            0.065003,            0.070669,            0.078742,            0.009406,            0.009406,            0.009406
                   8,            0.071275,            0.096927,            0.078757,            0.023891,             0.22968,            0.022677,           0.0082124,            0.063942,            0.067968,            0.078563,            0.009307,            0.009307,            0.009307
                   9,            0.067443,            0.092741,            0.077621,            0.018184,             0.23991,             0.02007,           0.0079139,            0.063315,            0.070085,            0.078258,            0.009208,            0.009208,            0.009208
                  10,            0.064631,            0.093508,             0.07887,            0.018448,             0.27682,            0.020963,            0.009106,            0.059423,            0.064878,            0.078172,            0.009109,            0.009109,            0.009109
                  11,            0.062106,            0.098223,             0.07844,            0.014095,             0.22028,            0.016504,            0.006215,            0.056969,            0.065189,            0.078003,             0.00901,             0.00901,             0.00901
                  12,            0.060528,            0.088111,            0.078594,             0.20484,             0.19526,            0.014654,           0.0057212,            0.055728,            0.063889,            0.078006,            0.008911,            0.008911,            0.008911
                  13,            0.060606,            0.095571,            0.078373,            0.015001,             0.25295,            0.020502,           0.0099319,            0.057956,            0.065667,             0.07783,            0.008812,            0.008812,            0.008812
                  14,            0.056399,            0.085962,            0.078352,            0.020793,             0.33254,             0.02432,            0.012721,            0.047078,            0.059616,            0.077803,            0.008713,            0.008713,            0.008713
                  15,            0.055946,             0.09102,            0.077956,             0.02155,             0.34857,            0.024918,            0.011362,            0.048943,            0.062105,            0.077657,            0.008614,            0.008614,            0.008614
                  16,            0.053537,            0.087436,               0.078,            0.021545,              0.3133,            0.024889,            0.012819,            0.053112,            0.061964,             0.07761,            0.008515,            0.008515,            0.008515
                  17,            0.055638,            0.084265,            0.077817,            0.021196,              0.3281,            0.025063,             0.01456,             0.04831,              0.0589,            0.077495,            0.008416,            0.008416,            0.008416
                  18,            0.054154,            0.090772,            0.077649,            0.021565,             0.33146,            0.025439,             0.01282,            0.048986,            0.059089,            0.077451,            0.008317,            0.008317,            0.008317
                  19,            0.051427,            0.082939,            0.077701,            0.023904,             0.37189,            0.027099,            0.015235,            0.044392,            0.057228,            0.077436,            0.008218,            0.008218,            0.008218
                  20,               0.053,            0.079112,             0.07762,            0.025413,             0.38663,            0.027418,            0.013559,            0.046652,            0.056114,            0.077454,            0.008119,            0.008119,            0.008119
